""
"Test Method","Ankenman Simplified Tensile.msm"
"Sample I. D.","Ankenman brushes.mss"
"Specimen Number","1"

"Time (s)","Load (lbf)","Crosshead (in)"

0.400,0,0.000
0.600,0,0.000
0.800,0,0.000
1.000,0,0.001
1.200,0,0.001
1.400,0,0.001
1.600,0,0.001
1.800,0,0.001
2.000,0,0.002
2.200,0,0.002
2.400,0,0.002
2.600,0,0.002
2.800,0,0.002
3.000,0,0.003
3.200,0,0.003
3.400,0,0.003
3.600,0,0.003
3.800,0,0.003
4.000,0,0.004
4.200,0,0.004
4.400,0,0.004
4.600,0,0.004
4.800,0,0.004
5.000,0,0.005
5.200,0,0.005
5.400,0,0.005
5.600,0,0.005
5.800,0,0.005
6.000,0,0.006
6.200,0,0.006
6.400,0,0.006
6.600,0,0.006
6.800,0,0.006
7.000,0,0.007
7.200,0,0.007
7.400,0,0.007
7.600,0,0.007
7.800,0,0.007
8.000,1,0.008
8.200,1,0.008
8.400,1,0.008
8.600,1,0.008
8.800,1,0.008
9.000,1,0.009
9.200,1,0.009
9.400,2,0.009
9.600,2,0.009
9.800,2,0.009
10.000,2,0.010
10.200,3,0.010
10.400,3,0.010
10.600,3,0.010
10.800,3,0.010
11.000,4,0.010
11.200,4,0.011
11.400,5,0.011
11.600,5,0.011
11.800,5,0.011
12.000,6,0.011
12.200,6,0.012
12.400,7,0.012
12.600,7,0.012
12.800,7,0.012
13.000,8,0.012
13.200,8,0.013
13.400,9,0.013
13.600,10,0.013
13.800,10,0.013
14.000,11,0.013
14.200,11,0.014
14.400,12,0.014
14.600,12,0.014
14.800,13,0.014
15.000,14,0.014
15.200,14,0.015
15.400,15,0.015
15.600,15,0.015
15.800,16,0.015
16.000,16,0.015
16.200,17,0.016
16.400,18,0.016
16.600,18,0.016
16.800,19,0.016
17.000,20,0.016
17.200,20,0.017
17.400,21,0.017
17.600,21,0.017
17.800,22,0.017
18.000,23,0.017
18.200,23,0.018
18.400,24,0.018
18.600,25,0.018
18.800,25,0.018
19.000,26,0.018
19.200,26,0.019
19.400,27,0.019
19.600,28,0.019
19.800,28,0.019
20.000,29,0.019
20.200,30,0.020
20.400,30,0.020
20.600,31,0.020
20.800,31,0.020
21.000,32,0.020
21.200,32,0.021
21.400,33,0.021
21.600,33,0.021
21.800,34,0.021
22.000,35,0.021
22.200,35,0.021
22.400,36,0.022
22.600,36,0.022
22.800,37,0.022
23.000,38,0.022
23.200,38,0.022
23.400,39,0.023
23.600,39,0.023
23.800,40,0.023
24.000,40,0.023
24.200,41,0.023
24.400,42,0.024
24.600,42,0.024
24.800,43,0.024
25.000,43,0.024
25.200,44,0.024
25.400,44,0.025
25.600,45,0.025
25.800,45,0.025
26.000,46,0.025
26.200,46,0.025
26.400,46,0.026
26.600,47,0.026
26.800,47,0.026
27.000,48,0.026
27.200,48,0.026
27.400,48,0.027
27.600,49,0.027
27.800,49,0.027
28.000,49,0.027
28.200,50,0.027
28.400,50,0.028
28.600,50,0.028
28.800,51,0.028
29.000,51,0.028
29.200,51,0.028
29.400,52,0.029
29.600,52,0.029
29.800,52,0.029
30.000,52,0.029
30.200,53,0.029
30.400,53,0.030
30.600,53,0.030
30.800,53,0.030
31.000,54,0.030
31.200,54,0.030
31.400,54,0.031
31.600,54,0.031
31.800,55,0.031
32.000,55,0.031
32.200,55,0.031
32.400,55,0.032
32.600,56,0.032
32.800,56,0.032
33.000,56,0.032
33.200,56,0.032
33.400,56,0.033
33.600,57,0.033
33.800,57,0.033
34.000,57,0.033
34.200,57,0.033
34.400,57,0.034
34.600,58,0.034
34.800,58,0.034
35.000,58,0.034
35.200,58,0.034
35.400,58,0.034
35.600,58,0.035
35.800,59,0.035
36.000,59,0.035
36.200,59,0.035
36.400,59,0.035
36.600,59,0.036
36.800,59,0.036
37.000,59,0.036
37.200,60,0.036
37.400,60,0.036
37.600,60,0.037
37.800,60,0.037
38.000,60,0.037
38.200,60,0.037
38.400,60,0.037
38.600,61,0.038
38.800,61,0.038
39.000,61,0.038
39.200,61,0.038
39.400,61,0.038
39.600,61,0.039
39.800,61,0.039
40.000,62,0.039
40.200,62,0.039
40.400,62,0.039
40.600,62,0.040
40.800,62,0.040
41.000,62,0.040
41.200,62,0.040
41.400,62,0.040
41.600,62,0.041
41.800,63,0.041
42.000,63,0.041
42.200,63,0.041
42.400,63,0.041
42.600,63,0.042
42.800,63,0.042
43.000,63,0.042
43.200,63,0.042
43.400,64,0.042
43.600,64,0.043
43.800,64,0.043
44.000,64,0.043
44.200,64,0.043
44.400,64,0.043
44.600,64,0.044
44.800,64,0.044
45.000,64,0.044
45.200,64,0.044
45.400,65,0.044
45.600,65,0.045
45.800,65,0.045
46.000,65,0.045
46.200,65,0.045
46.400,65,0.045
46.600,65,0.046
46.800,65,0.046
47.000,66,0.046
47.200,66,0.046
47.400,66,0.046
47.600,66,0.046
47.800,66,0.047
48.000,66,0.047
48.200,66,0.047
48.400,66,0.047
48.600,66,0.047
48.800,67,0.048
49.000,67,0.048
49.200,67,0.048
49.400,67,0.048
49.600,67,0.048
49.800,67,0.049
50.000,67,0.049
50.200,67,0.049
50.400,67,0.049
50.600,68,0.049
50.800,68,0.050
51.000,68,0.050
51.200,68,0.050
51.400,68,0.050
51.600,68,0.050
51.800,68,0.051
52.000,68,0.051
52.200,68,0.051
52.400,68,0.051
52.600,69,0.051
52.800,69,0.052
53.000,69,0.052
53.200,69,0.052
53.400,69,0.052
53.600,69,0.052
53.800,69,0.053
54.000,69,0.053
54.200,69,0.053
54.400,70,0.053
54.600,70,0.053
54.800,70,0.054
55.000,70,0.054
55.200,70,0.054
55.400,70,0.054
55.600,70,0.054
55.800,70,0.055
56.000,70,0.055
56.200,71,0.055
56.400,71,0.055
56.600,71,0.055
56.800,71,0.056
57.000,71,0.056
57.200,71,0.056
57.400,71,0.056
57.600,71,0.056
57.800,71,0.057
58.000,71,0.057
58.200,72,0.057
58.400,72,0.057
58.600,72,0.057
58.800,72,0.058
59.000,72,0.058
59.200,72,0.058
59.400,72,0.058
59.600,72,0.058
59.800,72,0.058
60.000,72,0.059
60.200,73,0.059
60.400,73,0.059
60.600,73,0.059
60.800,73,0.059
61.000,73,0.060
61.200,73,0.060
61.400,73,0.060
61.600,73,0.060
61.800,73,0.060
62.000,73,0.061
62.200,74,0.061
62.400,74,0.061
62.600,74,0.061
62.800,74,0.061
63.000,74,0.062
63.200,74,0.062
63.400,74,0.062
63.600,74,0.062
63.800,75,0.062
64.000,75,0.063
64.200,75,0.063
64.400,75,0.063
64.600,75,0.063
64.800,75,0.063
65.000,75,0.064
65.200,75,0.064
65.400,75,0.064
65.600,75,0.064
65.800,76,0.064
66.000,76,0.065
66.200,76,0.065
66.400,76,0.065
66.600,76,0.065
66.800,76,0.065
67.000,76,0.066
67.200,76,0.066
67.400,76,0.066
67.600,76,0.066
67.800,77,0.066
68.000,77,0.067
68.200,77,0.067
68.400,77,0.067
68.600,77,0.067
68.800,77,0.067
69.000,77,0.068
69.200,77,0.068
69.400,77,0.068
69.600,77,0.068
69.800,78,0.068
70.000,78,0.069
70.200,78,0.069
70.400,78,0.069
70.600,78,0.069
70.800,78,0.069
71.000,78,0.070
71.200,78,0.070
71.400,79,0.070
71.600,78,0.070
71.800,79,0.070
72.000,79,0.071
72.200,79,0.071
72.400,79,0.071
72.600,79,0.071
72.800,79,0.071
73.000,79,0.071
73.200,79,0.072
73.400,80,0.072
73.600,79,0.072
73.800,80,0.072
74.000,80,0.072
74.200,80,0.073
74.400,80,0.073
74.600,80,0.073
74.800,80,0.073
75.000,80,0.073
75.200,80,0.074
75.400,81,0.074
75.600,81,0.074
75.800,81,0.074
76.000,81,0.074
76.200,81,0.075
76.400,81,0.075
76.600,81,0.075
76.800,81,0.075
77.000,81,0.075
77.200,82,0.076
77.400,82,0.076
77.600,82,0.076
77.800,82,0.076
78.000,81,0.076
78.200,82,0.077
78.400,82,0.077
78.600,82,0.077
78.800,82,0.077
79.000,83,0.077
79.200,83,0.078
79.400,83,0.078
79.600,83,0.078
79.800,83,0.078
80.000,83,0.078
80.200,83,0.079
80.400,83,0.079
80.600,83,0.079
80.800,83,0.079
81.000,83,0.079
81.200,84,0.080
81.400,83,0.080
81.600,84,0.080
81.800,83,0.080
82.000,83,0.080
82.200,84,0.081
82.400,84,0.081
82.600,84,0.081
82.800,84,0.081
83.000,85,0.081
83.200,85,0.082
83.400,84,0.082
83.600,84,0.082
83.800,85,0.082
84.000,85,0.082
84.200,85,0.083
84.400,85,0.083
84.600,85,0.083
84.800,85,0.083
85.000,85,0.083
85.200,85,0.083
85.400,86,0.084
85.600,86,0.084
85.800,86,0.084
86.000,86,0.084
86.200,86,0.084
86.400,86,0.085
86.600,86,0.085
86.800,86,0.085
87.000,87,0.085
87.200,86,0.085
87.400,87,0.086
87.600,87,0.086
87.800,87,0.086
88.000,87,0.086
88.200,87,0.086
88.400,87,0.087
88.600,87,0.087
88.800,87,0.087
89.000,87,0.087
89.200,88,0.087
89.400,88,0.088
89.600,88,0.088
89.800,88,0.088
90.000,88,0.088
90.200,88,0.088
90.400,88,0.089
90.600,88,0.089
90.800,88,0.089
91.000,89,0.089
91.200,89,0.089
91.400,89,0.090
91.600,89,0.090
91.800,89,0.090
92.000,89,0.090
92.200,89,0.090
92.400,89,0.091
92.600,89,0.091
92.800,89,0.091
93.000,90,0.091
93.200,90,0.091
93.400,90,0.092
93.600,90,0.092
93.800,90,0.092
94.000,90,0.092
94.200,90,0.092
94.400,90,0.093
94.600,90,0.093
94.800,90,0.093
95.000,90,0.093
95.200,91,0.093
95.400,91,0.094
95.600,91,0.094
95.800,91,0.094
96.000,91,0.094
96.200,91,0.094
96.400,91,0.094
96.600,91,0.095
96.800,91,0.095
97.000,91,0.095
97.200,92,0.095
97.400,92,0.095
97.600,92,0.096
97.800,92,0.096
98.000,92,0.096
98.200,92,0.096
98.400,92,0.096
98.600,92,0.097
98.800,92,0.097
99.000,93,0.097
99.200,93,0.097
99.400,93,0.097
99.600,93,0.098
99.800,93,0.098
100.000,93,0.098
100.200,93,0.098
100.400,93,0.098
100.600,93,0.099
100.800,94,0.099
101.000,94,0.099
101.200,94,0.099
101.400,94,0.099
101.600,94,0.100
101.800,94,0.100
102.000,94,0.100
102.200,94,0.100
102.400,94,0.100
102.600,94,0.101
102.800,95,0.101
103.000,95,0.101
103.200,95,0.101
103.400,95,0.101
103.600,95,0.102
103.800,95,0.102
104.000,95,0.102
104.200,95,0.102
104.400,95,0.102
104.600,95,0.103
104.800,96,0.103
105.000,96,0.103
105.200,96,0.103
105.400,96,0.103
105.600,96,0.104
105.800,96,0.104
106.000,96,0.104
106.200,96,0.104
106.400,96,0.104
106.600,96,0.105
106.800,97,0.105
107.000,97,0.105
107.200,97,0.105
107.400,97,0.105
107.600,97,0.105
107.800,97,0.106
108.000,97,0.106
108.200,97,0.106
108.400,97,0.106
108.600,97,0.106
108.800,98,0.107
109.000,98,0.107
109.200,98,0.107
109.400,98,0.107
109.600,98,0.107
109.800,98,0.108
110.000,98,0.108
110.200,98,0.108
110.400,98,0.108
110.600,98,0.108
110.800,99,0.109
111.000,99,0.109
111.200,99,0.109
111.400,99,0.109
111.600,99,0.109
111.800,99,0.110
112.000,99,0.110
112.200,99,0.110
112.400,99,0.110
112.600,99,0.110
112.800,100,0.111
113.000,100,0.111
113.200,100,0.111
113.400,100,0.111
113.600,100,0.111
113.800,100,0.112
114.000,100,0.112
114.200,100,0.112
114.400,101,0.112
114.600,101,0.112
114.800,101,0.113
115.000,101,0.113
115.200,101,0.113
115.400,101,0.113
115.600,101,0.113
115.800,101,0.114
116.000,101,0.114
116.200,101,0.114
116.400,101,0.114
116.600,102,0.114
116.800,102,0.115
117.000,102,0.115
117.200,102,0.115
117.400,102,0.115
117.600,102,0.115
117.800,102,0.116
118.000,102,0.116
118.200,102,0.116
118.400,102,0.116
118.600,103,0.116
118.800,103,0.117
119.000,103,0.117
119.200,103,0.117
119.400,103,0.117
119.600,103,0.117
119.800,103,0.118
120.000,103,0.118
120.200,103,0.118
120.400,104,0.118
120.600,104,0.118
120.800,104,0.118
121.000,104,0.119
121.200,104,0.119
121.400,104,0.119
121.600,104,0.119
121.800,104,0.119
122.000,104,0.120
122.200,104,0.120
122.400,105,0.120
122.600,105,0.120
122.800,105,0.120
123.000,105,0.121
123.200,105,0.121
123.400,105,0.121
123.600,105,0.121
123.800,105,0.121
124.000,105,0.122
124.200,105,0.122
124.400,106,0.122
124.600,106,0.122
124.800,106,0.122
125.000,106,0.123
125.200,106,0.123
125.400,106,0.123
125.600,106,0.123
125.800,106,0.123
126.000,106,0.124
126.200,107,0.124
126.400,106,0.124
126.600,107,0.124
126.800,107,0.124
127.000,107,0.125
127.200,107,0.125
127.400,107,0.125
127.600,107,0.125
127.800,107,0.125
128.000,107,0.126
128.200,108,0.126
128.400,108,0.126
128.600,108,0.126
128.800,108,0.126
129.000,108,0.127
129.200,108,0.127
129.400,108,0.127
129.600,108,0.127
129.800,108,0.127
130.000,108,0.128
130.200,108,0.128
130.400,109,0.128
130.600,109,0.128
130.800,109,0.128
131.000,109,0.129
131.200,109,0.129
131.400,109,0.129
131.600,109,0.129
131.800,109,0.129
132.000,109,0.129
132.200,110,0.130
132.400,110,0.130
132.600,110,0.130
132.800,110,0.130
133.000,110,0.130
133.200,110,0.131
133.400,110,0.131
133.600,110,0.131
133.800,110,0.131
134.000,110,0.131
134.200,111,0.132
134.400,111,0.132
134.600,111,0.132
134.800,111,0.132
135.000,111,0.132
135.200,111,0.133
135.400,111,0.133
135.600,111,0.133
135.800,111,0.133
136.000,112,0.133
136.200,112,0.134
136.400,112,0.134
136.600,112,0.134
136.800,112,0.134
137.000,112,0.134
137.200,112,0.135
137.400,112,0.135
137.600,112,0.135
137.800,112,0.135
138.000,113,0.135
138.200,113,0.136
138.400,113,0.136
138.600,113,0.136
138.800,113,0.136
139.000,113,0.136
139.200,113,0.137
139.400,113,0.137
139.600,113,0.137
139.800,113,0.137
140.000,114,0.137
140.200,114,0.138
140.400,114,0.138
140.600,114,0.138
140.800,114,0.138
141.000,114,0.138
141.200,114,0.139
141.400,114,0.139
141.600,114,0.139
141.800,115,0.139
142.000,115,0.139
142.200,115,0.140
142.400,115,0.140
142.600,115,0.140
142.800,115,0.140
143.000,115,0.140
143.200,115,0.141
143.400,115,0.141
143.600,115,0.141
143.800,116,0.141
144.000,116,0.141
144.200,116,0.142
144.400,116,0.142
144.600,116,0.142
144.800,116,0.142
145.000,116,0.142
145.200,116,0.143
145.400,116,0.143
145.600,116,0.143
145.800,117,0.143
146.000,117,0.143
146.200,117,0.143
146.400,117,0.144
146.600,117,0.144
146.800,117,0.144
147.000,117,0.144
147.200,117,0.144
147.400,117,0.145
147.600,117,0.145
147.800,118,0.145
148.000,118,0.145
148.200,118,0.145
148.400,118,0.146
148.600,118,0.146
148.800,118,0.146
149.000,118,0.146
149.200,118,0.146
149.400,118,0.147
149.600,118,0.147
149.800,119,0.147
150.000,119,0.147
150.200,119,0.147
150.400,119,0.148
150.600,119,0.148
150.800,119,0.148
151.000,119,0.148
151.200,119,0.148
151.400,119,0.149
151.600,120,0.149
151.800,120,0.149
152.000,120,0.149
152.200,120,0.149
152.400,120,0.150
152.600,120,0.150
152.800,120,0.150
153.000,120,0.150
153.200,120,0.150
153.400,120,0.151
153.600,121,0.151
153.800,121,0.151
154.000,121,0.151
154.200,121,0.151
154.400,121,0.152
154.600,121,0.152
154.800,121,0.152
155.000,121,0.152
155.200,121,0.152
155.400,121,0.153
155.600,122,0.153
155.800,122,0.153
156.000,122,0.153
156.200,122,0.153
156.400,122,0.154
156.600,122,0.154
156.800,122,0.154
157.000,122,0.154
157.200,122,0.154
157.400,122,0.155
157.600,123,0.155
157.800,123,0.155
158.000,123,0.155
158.200,123,0.155
158.400,123,0.155
158.600,123,0.156
158.800,123,0.156
159.000,123,0.156
159.200,123,0.156
159.400,123,0.156
159.600,124,0.157
159.800,124,0.157
160.000,124,0.157
160.200,124,0.157
160.400,124,0.157
160.600,124,0.158
160.800,124,0.158
161.000,124,0.158
161.200,124,0.158
161.400,124,0.158
161.600,125,0.159
161.800,125,0.159
162.000,125,0.159
162.200,125,0.159
162.400,125,0.159
162.600,125,0.160
162.800,125,0.160
163.000,125,0.160
163.200,126,0.160
163.400,126,0.160
163.600,126,0.161
163.800,126,0.161
164.000,126,0.161
164.200,126,0.161
164.400,126,0.161
164.600,126,0.162
164.800,126,0.162
165.000,126,0.162
165.200,126,0.162
165.400,126,0.162
165.600,127,0.163
165.800,127,0.163
166.000,127,0.163
166.200,127,0.163
166.400,127,0.163
166.600,127,0.164
166.800,127,0.164
167.000,127,0.164
167.200,128,0.164
167.400,128,0.164
167.600,128,0.165
167.800,128,0.165
168.000,128,0.165
168.200,128,0.165
168.400,128,0.165
168.600,128,0.166
168.800,128,0.166
169.000,128,0.166
169.200,129,0.166
169.400,129,0.166
169.600,129,0.167
169.800,129,0.167
170.000,129,0.167
170.200,129,0.167
170.400,129,0.167
170.600,129,0.168
170.800,130,0.168
171.000,130,0.168
171.200,130,0.168
171.400,130,0.168
171.600,130,0.169
171.800,130,0.169
172.000,130,0.169
172.200,130,0.169
172.400,131,0.169
172.600,130,0.169
172.800,131,0.170
173.000,131,0.170
173.200,131,0.170
173.400,131,0.170
173.600,131,0.170
173.800,131,0.171
174.000,131,0.171
174.200,131,0.171
174.400,132,0.171
174.600,132,0.171
174.800,132,0.172
175.000,132,0.172
175.200,132,0.172
175.400,132,0.172
175.600,132,0.172
175.800,133,0.173
176.000,133,0.173
176.200,133,0.173
176.400,133,0.173
176.600,133,0.173
176.800,133,0.174
177.000,133,0.174
177.200,133,0.174
177.400,134,0.174
177.600,134,0.174
177.800,134,0.175
178.000,134,0.175
178.200,134,0.175
178.400,134,0.175
178.600,134,0.175
178.800,135,0.176
179.000,135,0.176
179.200,135,0.176
179.400,135,0.176
179.600,135,0.176
179.800,135,0.177
180.000,135,0.177
180.200,135,0.177
180.400,136,0.177
180.600,136,0.177
180.800,136,0.178
181.000,136,0.178
181.200,136,0.178
181.400,136,0.178
181.600,136,0.178
181.800,136,0.179
182.000,137,0.179
182.200,137,0.179
182.400,137,0.179
182.600,137,0.179
182.800,137,0.180
183.000,137,0.180
183.200,137,0.180
183.400,138,0.180
183.600,138,0.180
183.800,138,0.180
184.000,138,0.181
184.200,138,0.181
184.400,138,0.181
184.600,138,0.181
184.800,139,0.181
185.000,139,0.182
185.200,139,0.182
185.400,139,0.182
185.600,139,0.182
185.800,139,0.182
186.000,139,0.183
186.200,139,0.183
186.400,140,0.183
186.600,140,0.183
186.800,140,0.183
187.000,140,0.184
187.200,140,0.184
187.400,140,0.184
187.600,140,0.184
187.800,141,0.184
188.000,141,0.185
188.200,141,0.185
188.400,141,0.185
188.600,141,0.185
188.800,141,0.185
189.000,141,0.186
189.200,141,0.186
189.400,142,0.186
189.600,142,0.186
189.800,142,0.186
190.000,142,0.187
190.200,142,0.187
190.400,142,0.187
190.600,142,0.187
190.800,143,0.187
191.000,143,0.188
191.200,143,0.188
191.400,143,0.188
191.600,143,0.188
191.800,143,0.188
192.000,143,0.189
192.200,144,0.189
192.400,144,0.189
192.600,144,0.189
192.800,144,0.189
193.000,144,0.190
193.200,144,0.190
193.400,144,0.190
193.600,144,0.190
