""
"Test Method","Ankenman Simplified Tensile.msm"
"Sample I. D.","Ankenman brushes.mss"
"Specimen Number","5"

"Time (s)","Load (lbf)","Crosshead (in)"

0.600,0,0.001
1.000,0,0.001
1.400,0,0.002
1.800,0,0.003
2.200,0,0.004
2.600,0,0.005
3.000,0,0.005
3.400,0,0.006
3.800,0,0.007
4.200,0,0.008
4.600,0,0.009
5.000,0,0.009
5.400,0,0.010
5.800,0,0.011
6.200,0,0.012
6.600,0,0.012
7.000,0,0.013
7.400,0,0.014
7.800,0,0.015
8.200,0,0.016
8.600,0,0.016
9.000,0,0.017
9.400,1,0.018
9.800,3,0.019
10.200,4,0.020
10.600,6,0.020
11.000,8,0.021
11.400,10,0.022
11.800,13,0.023
12.200,15,0.023
12.600,17,0.024
13.000,19,0.025
13.400,22,0.026
13.800,24,0.027
14.200,26,0.027
14.600,28,0.028
15.000,29,0.029
15.400,31,0.030
15.800,32,0.031
16.200,34,0.031
16.600,36,0.032
17.000,37,0.033
17.400,39,0.034
17.800,40,0.034
18.200,41,0.035
18.600,42,0.036
19.000,43,0.037
19.400,43,0.038
19.800,44,0.038
20.200,45,0.039
20.600,46,0.040
21.000,46,0.041
21.400,47,0.042
21.800,47,0.042
22.200,48,0.043
22.600,49,0.044
23.000,49,0.045
23.400,49,0.045
23.800,50,0.046
24.200,50,0.047
24.600,50,0.048
25.000,51,0.049
25.400,51,0.049
25.800,51,0.050
26.200,52,0.051
26.600,52,0.052
27.000,52,0.053
27.400,53,0.053
27.800,53,0.054
28.200,53,0.055
28.600,53,0.056
29.000,54,0.057
29.400,54,0.057
29.800,54,0.058
30.200,55,0.059
30.600,55,0.060
31.000,55,0.060
31.400,56,0.061
31.800,56,0.062
32.200,56,0.063
32.600,56,0.064
33.000,57,0.064
33.400,57,0.065
33.800,57,0.066
34.200,57,0.067
34.600,58,0.068
35.000,58,0.068
35.400,58,0.069
35.800,58,0.070
36.200,59,0.071
36.600,59,0.071
37.000,59,0.072
37.400,59,0.073
37.800,60,0.074
38.200,60,0.075
38.600,60,0.075
39.000,60,0.076
39.400,60,0.077
39.800,61,0.078
40.200,61,0.079
40.600,61,0.079
41.000,61,0.080
41.400,62,0.081
41.800,62,0.082
42.200,62,0.083
42.600,62,0.083
43.000,62,0.084
43.400,63,0.085
43.800,63,0.086
44.200,63,0.086
44.600,64,0.087
45.000,64,0.088
45.400,64,0.089
45.800,64,0.090
46.200,64,0.090
46.600,65,0.091
47.000,65,0.092
47.400,65,0.093
47.800,65,0.094
48.200,65,0.094
48.600,66,0.095
49.000,66,0.096
49.400,66,0.097
49.800,66,0.097
50.200,66,0.098
50.600,67,0.099
51.000,67,0.100
51.400,67,0.101
51.800,67,0.101
52.200,68,0.102
52.600,68,0.103
53.000,68,0.104
53.400,68,0.105
53.800,68,0.105
54.200,68,0.106
54.600,69,0.107
55.000,69,0.108
55.400,69,0.108
55.800,70,0.109
56.200,70,0.110
